Name_sequence	Genome_length	Virus_name	Complete_segment_name
NC_001918.1	8251	|Aichi virus	|Aichi virus, complete genome
NC_055230.1	221923	|Akhmeta virus isolate Akhmeta_2013-88	|Akhmeta virus isolate Akhmeta_2013-88, complete genome
NC_055330.1	6418	|Alenquer virus segment L	|Alenquer virus segment L, complete sequence
NC_055331.1	1751	|Alenquer virus segment S	|Alenquer virus segment S, complete sequence
NC_055332.1	4286	|Alenquer virus segment M	|Alenquer virus segment M, complete sequence
NC_016155.1	6119	|Astrovirus MLB2	|Astrovirus MLB2, complete genome
NC_019028.1	6124	|Astrovirus MLB3 isolate MLB3/human/Vellore/26564/2004	|Astrovirus MLB3 isolate MLB3/human/Vellore/26564/2004, complete genome
NC_019026.1	6581	|Astrovirus VA3 isolate VA3/human/Vellore/28054/2005	|Astrovirus VA3 isolate VA3/human/Vellore/28054/2005, complete genome
NC_019027.1	6518	|Astrovirus VA4 isolate VA4/human/Nepal/s5363	|Astrovirus VA4 isolate VA4/human/Nepal/s5363, complete genome
NC_043067.1	11892	|Bas-Congo virus isolate BASV-1 N protein gene	|Bas-Congo virus isolate BASV-1 N protein gene, partial cds; P protein, M protein, U1 protein, U2 protein, G protein, and U3 protein genes, complete cds; and L protein gene, partial cds
NC_035758.1	6339	|Bastrovirus 7	|Bastrovirus 7, complete genome
NC_024888.1	4733	|Bufavirus-3 genes for NS1	|Bufavirus-3 genes for NS1, putative VP1, hypothetical protein, VP2, complete cds, strain: BTN-63
NC_014373.1	18940	|Bundibugyo ebolavirus	|Bundibugyo ebolavirus, complete genome
NC_024472.1	6577	|Human astrovirus BF34	|Human astrovirus BF34, complete genome
NC_034479.1	6934	|Bwamba virus strain M459 segment L polymerase gene	|Bwamba virus strain M459 segment L polymerase gene, complete cds
NC_034480.1	1096	|Bwamba virus strain M459 segment S nucleoprotein and nonstructural protein NSs genes	|Bwamba virus strain M459 segment S nucleoprotein and nonstructural protein NSs genes, complete cds
NC_034490.1	4557	|Bwamba virus strain M459 segment M glycoprotein precursor gene	|Bwamba virus strain M459 segment M glycoprotein precursor gene, complete cds
NC_015373.1	4326	|Candiru virus segment M	|Candiru virus segment M, complete genome
NC_015374.1	6327	|Candiru virus segment L	|Candiru virus segment L, complete genome
NC_015375.1	1842	|Candiru virus segment S	|Candiru virus segment S, complete genome
NC_038726.1	807	|Catu virus strain BeH 151 nucleocapsid protein gene	|Catu virus strain BeH 151 nucleocapsid protein gene, complete cds
NC_038727.1	4420	|Catu virus strain BeH 151 polyprotein gene	|Catu virus strain BeH 151 polyprotein gene, complete cds
NC_038728.1	6797	|Catu virus strain BeH 151 RNA-dependent RNA polymerase gene	|Catu virus strain BeH 151 RNA-dependent RNA polymerase gene, complete cds
NC_039024.1	13220	|Central cimpanzee simian foamy virus isolate BAD327	|Central cimpanzee simian foamy virus isolate BAD327, complete genome
NC_020805.1	11120	|Chandipura virus isolate CIN 0451	|Chandipura virus isolate CIN 0451, complete genome
NC_010562.1	3357	|Chapare virus segment S	|Chapare virus segment S, complete sequence
NC_010563.1	7107	|Chapare virus segment L	|Chapare virus segment L, complete sequence
NC_023888.1	2526	|Circo-like virus-Brazil hs1	|Circo-like virus-Brazil hs1, complete genome
NC_030449.1	2951	|Unidentified circular ssDNA virus	|Unidentified circular ssDNA virus, complete genome
NC_012800.1	7632	|Cosavirus A strain HCoSV-A1 polyprotein gene	|Cosavirus A strain HCoSV-A1 polyprotein gene, complete cds
NC_012801.1	7205	|Human cosavirus B1	|Human cosavirus B1, complete genome
NC_012802.1	7215	|Human cosavirus D1	|Human cosavirus D1, complete genome
NC_012798.1	6580	|Human cosavirus E1	|Human cosavirus E1, complete genome
NC_034385.1	6656	|Human cosavirus F strain PK5006 polyprotein gene	|Human cosavirus F strain PK5006 polyprotein gene, complete cds
NC_025961.1	7213	|Cosavirus JMY-2014 isolate Cosa-CHN	|Cosavirus JMY-2014 isolate Cosa-CHN, complete genome
NC_043450.1	6255	|Severe fever with thrombocytopenia syndrome virus strain HNXH segment L	|Severe fever with thrombocytopenia syndrome virus strain HNXH segment L, complete sequence
NC_043451.1	3336	|Severe fever with thrombocytopenia syndrome virus strain HNXH segment M	|Severe fever with thrombocytopenia syndrome virus strain HNXH segment M, complete sequence
NC_043452.1	1681	|Severe fever with thrombocytopenia syndrome virus strain HNXH segment S	|Severe fever with thrombocytopenia syndrome virus strain HNXH segment S, complete sequence
NC_020810.1	11976	|Duvenhage virus isolate 86132SA	|Duvenhage virus isolate 86132SA, complete genome
NC_039025.1	11954	|Eastern chimpanzee simian foamy virus clone pHSRV13	|Eastern chimpanzee simian foamy virus clone pHSRV13, complete genome
NC_055339.1	6411	|Echarte virus segment L	|Echarte virus segment L, complete sequence
NC_055340.1	1818	|Echarte virus segment S	|Echarte virus segment S, complete sequence
NC_055341.1	4287	|Echarte virus segment M	|Echarte virus segment M, complete sequence
NC_038282.1	12659	|Ekpoma virus 1 isolate EKV-1	|Ekpoma virus 1 isolate EKV-1, partial genome
NC_038283.1	12674	|Ekpoma virus 2 isolate EKV-2	|Ekpoma virus 2 isolate EKV-2, partial genome
NC_030454.1	7317	|Enterovirus A114 strain V13-0285	|Enterovirus A114 strain V13-0285, partial genome
NC_038307.1	7399	|Coxsackievirus B3 mRNA	|Coxsackievirus B3 mRNA, complete genome
NC_009528.2	11930	|European bat lyssavirus 2 isolate RV1333	|European bat lyssavirus 2 isolate RV1333, complete genome
NC_043615.1	4463	|Fort Sherman virus strain 86MSP18 segment M	|Fort Sherman virus strain 86MSP18 segment M, complete sequence
NC_043616.1	948	|Fort Sherman virus strain 86MSP18 segment S	|Fort Sherman virus strain 86MSP18 segment S, complete sequence
NC_043617.1	6883	|Fort Sherman virus strain 86MSP18 segment L	|Fort Sherman virus strain 86MSP18 segment L, complete sequence
NC_014185.1	7342	|Human papillomavirus type 121	|Human papillomavirus type 121, complete genome
NC_021483.1	7286	|Human papillomavirus type 154 isolate PV77	|Human papillomavirus type 154 isolate PV77, complete genome
NC_017994.1	7319	|Human papillomavirus type 136	|Human papillomavirus type 136, complete genome
NC_017996.1	7341	|Human papillomavirus type 140	|Human papillomavirus type 140, complete genome
NC_016157.1	7326	|Human papillomavirus type 126	|Human papillomavirus type 126, complete genome
NC_014955.1	7125	|Human papillomavirus type 132	|Human papillomavirus type 132, complete genome
NC_014469.1	7181	|Gammapapillomavirus HPV127	|Gammapapillomavirus HPV127, complete genome
NC_014952.1	7259	|Human papillomavirus type 128	|Human papillomavirus type 128, complete genome
NC_014954.1	7182	|Human papillomavirus type 131	|Human papillomavirus type 131, complete genome
NC_022095.1	7228	|Human papillomavirus type 179 complete genome	|Human papillomavirus type 179 complete genome, isolate SIBX16
NC_017993.1	7293	|Human papillomavirus type 135	|Human papillomavirus type 135, complete genome
NC_017995.1	7236	|Human papillomavirus type 137	|Human papillomavirus type 137, complete genome
